resources charm:1 love:8 strange:1
resources kat:1 love:10 sad:60 a:1 b:1 c:1
resources cheese:2 up:1 down:3


task    t1  500  1000 charm:1 strange:1  love:10
task    t2  500  1000 love:8  charm:1  kat:1
task    t3  500  1000 love:2  strange:1  kat:1
task    another  700 1000  charm:1 strange:1 kat:1

# Trying our best to create a deadlock and also test concurrency
task    c1  500  50 charm:1 kat:1
task    c2  250  50 kat:1 strange:1
task    c3  750  50  strange:1 charm:1
task    b1  254  50 a:1 b:1
task    b2  254  50 b:1 c:1
task    b3  254  50 c:1 a:1

task    a4  700 700 c:1
task    a6  700 700 kat:1

task d2 500 500 cheese:1 up:1
task d3 500 500 cheese:1 up:1
task d4 500 500 down:2 cheese:1
task d5 500 500 down:1 cheese:1
task d6 1000 500 down:3 sad:58
task d7 1000 500 down:2 sad:40

task  k1  222 222 sad:18
task  k2  444 444 sad:50
